Comment,Designator,Footprint,LCSC Part Number
0.1uF,"C1, C2, C4, C5, C8, C9, ",C_1206_3216Metric,C541547
4.7uF,"C3, C7, C10, ",C_1206_3216Metric,C132148
10uF,"C6, ",C_1206_3216Metric,C128855
SP0503BAHT,"D2, ",SOT-143,C7074
CP2102N-A02-GQFN24,"IC1, ",QFN50P400X400X80-25N,C969151
1K Ohm,"R1, R3, ",R_1206_3216Metric,C131398
10K Ohm,"R2, ",R_1206_3216Metric,C132649
22K Ohm,"R4, ",R_1206_3216Metric,C114942
47K Ohm,"R5, ",R_1206_3216Metric,C136469
5.1K Ohm,"R6, R7, ",R_1206_3216Metric,C163372
620 Ohm,"R8, R9,",R_1206_3216Metric,C185260
